,Team,Opp,Name,Pos,FD_points,Key,Date,first_downs,TotYd,PassY,RushY,TO,day,kickoff,location,Defense,FFP_lag1,FFP_lag2,FFP_lag3,Tot_lag1,Pass_lag1,Russ_lag1,Tot_lag2,Pass_lag2,Russ_lag2,Tot_lag3,Pass_lag3,Russ_lag3
0,CAR,KAN,Christian McCaffrey (McCaCh01),RB,32.1,McCaCh01,2020-11-08,30.0,435.0,331.0,104.0,0.0,Sun,1:00PM ET,home,Chiefs,22.8,27.0,,221.0,128.0,93.0,411.0,234.0,177.0,206.0,122.0,84.0
1,CAR,TAM,Christian McCaffrey (McCaCh01),RB,22.8,McCaCh01,2020-09-20,24.0,427.0,340.0,87.0,4.0,Sun,1:00PM ET,home,Bucs,27.0,,,271.0,189.0,82.0,350.0,243.0,107.0,381.0,314.0,67.0
2,CAR,LVR,Christian McCaffrey (McCaCh01),RB,27.0,McCaCh01,2020-09-13,22.0,388.0,259.0,129.0,0.0,Sun,1:00PM ET,@,Raiders,,,,446.0,324.0,122.0,238.0,168.0,70.0,284.0,265.0,19.0
3,MIN,NOR,Dalvin Cook (CookDa01),RB,15.5,CookDa01,2020-12-25,25.0,364.0,274.0,90.0,0.0,Fri,4:30PM ET,home,Saints,24.4,18.0,20.9,411.0,232.0,179.0,413.0,167.0,246.0,332.0,262.0,70.0
4,MIN,CHI,Dalvin Cook (CookDa01),RB,24.4,CookDa01,2020-12-20,26.0,407.0,249.0,158.0,1.0,Sun,1:00PM ET,@,Bears,18.0,20.9,8.2,263.0,155.0,108.0,460.0,400.0,60.0,393.0,211.0,182.0
5,MIN,TAM,Dalvin Cook (CookDa01),RB,18.0,CookDa01,2020-12-13,27.0,335.0,173.0,162.0,1.0,Sun,1:00PM ET,home,Bucs,20.9,8.2,22.5,543.0,456.0,87.0,413.0,376.0,37.0,187.0,122.0,65.0
6,MIN,JAX,Dalvin Cook (CookDa01),RB,20.9,CookDa01,2020-12-06,30.0,420.0,275.0,145.0,2.0,Sun,1:00PM ET,@,Jaguars,8.2,22.5,13.2,459.0,252.0,207.0,373.0,267.0,106.0,395.0,315.0,80.0
7,MIN,CAR,Dalvin Cook (CookDa01),RB,8.2,CookDa01,2020-11-29,26.0,387.0,291.0,96.0,3.0,Sun,1:00PM ET,@,Panthers,22.5,13.2,38.2,185.0,145.0,40.0,544.0,334.0,210.0,397.0,361.0,36.0
8,MIN,DAL,Dalvin Cook (CookDa01),RB,22.5,CookDa01,2020-11-22,24.0,430.0,305.0,125.0,2.0,Sun,4:25PM ET,@,Cowboys,13.2,38.2,47.6,355.0,309.0,46.0,222.0,103.0,119.0,397.0,189.0,208.0
9,MIN,CHI,Dalvin Cook (CookDa01),RB,13.2,CookDa01,2020-11-16,19.0,385.0,286.0,99.0,2.0,Mon,8:15PM ET,home,Bears,38.2,47.6,17.4,228.0,136.0,92.0,394.0,272.0,122.0,371.0,211.0,160.0
10,MIN,DET,Dalvin Cook (CookDa01),RB,38.2,CookDa01,2020-11-08,22.0,487.0,212.0,275.0,0.0,Sun,1:00PM ET,@,Lions,47.6,17.4,27.6,366.0,247.0,119.0,388.0,322.0,66.0,275.0,231.0,44.0
11,MIN,GNB,Dalvin Cook (CookDa01),RB,47.6,CookDa01,2020-11-01,20.0,324.0,151.0,173.0,0.0,Sun,1:00PM ET,home,Packers,17.4,27.6,24.9,365.0,286.0,79.0,324.0,166.0,158.0,327.0,249.0,78.0
12,MIN,SEA,Dalvin Cook (CookDa01),RB,17.4,CookDa01,2020-10-11,31.0,449.0,248.0,201.0,2.0,Sun,8:20PM ET,home,Seahawks,27.6,24.9,16.1,415.0,312.0,103.0,522.0,461.0,61.0,464.0,397.0,67.0
13,MIN,HOU,Dalvin Cook (CookDa01),RB,27.6,CookDa01,2020-10-04,24.0,410.0,248.0,162.0,0.0,Sun,1:00PM ET,home,Texans,24.9,16.1,21.3,387.0,218.0,169.0,407.0,177.0,230.0,369.0,203.0,166.0
14,MIN,TEN,Dalvin Cook (CookDa01),RB,24.9,CookDa01,2020-09-27,22.0,464.0,238.0,226.0,3.0,Sun,1:00PM ET,@,Titans,16.1,21.3,,480.0,315.0,165.0,323.0,216.0,107.0,401.0,165.0,236.0
15,MIN,IND,Dalvin Cook (CookDa01),RB,16.1,CookDa01,2020-09-20,12.0,175.0,95.0,80.0,3.0,Sun,1:00PM ET,home,Colts,21.3,,,241.0,150.0,91.0,397.0,301.0,96.0,283.0,230.0,53.0
16,MIN,GNB,Dalvin Cook (CookDa01),RB,21.3,CookDa01,2020-09-13,25.0,382.0,248.0,134.0,1.0,Sun,1:00PM ET,@,Packers,,,,351.0,275.0,76.0,244.0,148.0,96.0,356.0,248.0,108.0
17,NOR,MIN,Alvin Kamara (KamaAl00),RB,54.7,KamaAl00,2020-12-25,36.0,583.0,319.0,264.0,2.0,Fri,4:30PM ET,@,Vikings,16.9,18.9,16.7,397.0,198.0,199.0,303.0,196.0,107.0,390.0,266.0,124.0
18,NOR,KAN,Alvin Kamara (KamaAl00),RB,16.9,KamaAl00,2020-12-20,15.0,285.0,225.0,60.0,1.0,Sun,4:25PM ET,@,Chiefs,18.9,16.7,5.7,367.0,287.0,80.0,330.0,151.0,179.0,417.0,342.0,75.0
19,NOR,PHI,Alvin Kamara (KamaAl00),RB,18.9,KamaAl00,2020-12-13,20.0,358.0,262.0,96.0,2.0,Sun,4:25PM ET,home,Eagles,16.7,5.7,10.5,437.0,288.0,149.0,301.0,225.0,76.0,324.0,187.0,137.0
